순위,업소명,주소,분류,현지인 검색 수
89,천지연송도유원지점,인천 연수구 청량로 108-0,한식,3986
90,스타파이브카페,인천 중구 공항서로 133-1,카페/찻집,3953
91,석남동함흥냉면,인천 서구 석남로 87-0,한식,3945
92,훈장골논현점,인천 남동구 논현로 16-0,한식,3933
93,어부의밥상청라점,인천 서구 보석로12번안길 20-0,한식,3922
94,송쭈집본점,인천 연수구 컨벤시아대로 126-0,전문음식,3865
95,송추가마골인천구월점,인천 남동구 인주대로 544-0,한식,3863
96,곰설채설렁탕,인천 남동구 인주대로 625-0,한식,3847
97,백합칼국수송도점,인천 연수구 아암대로 811-0,한식,3843
98,샹끄발레르,인천 연수구 컨벤시아대로130번길 14-0,간이음식,3832
99,지금이곳,인천 중구 운남로82번길 40-0,카페/찻집,3828
100,제주은희네해장국인천송도점,인천 연수구 아트센터대로 87-0,한식,3763
101,바다앞테라스,인천 중구 은하수로 10-0,간이음식,3762
102,송도콩나물해장국밥,인천 연수구 청량로113번길 15-0,한식,3732
103,안스베이커리연수점,인천 연수구 청명로3번길 1-0,간이음식,3715
104,유천가든,인천 서구 아라로51번길 6-1,전문음식,3696
105,송돗골,인천 연수구 앵고개로103번길 15-0,전문음식,3691
106,육대장본점,인천 남동구 비류대로 783-0,한식,3682
107,마루샤브송도점,인천 연수구 인천타워대로 99-0,전문음식,3673
108,상무초밥송도직영점,인천 연수구 신송로 122-0,외국식,3671
109,건강밥상심마니청라점,인천 서구 청라커낼로288번길 10-0,한식,3652
110,넙디빈대떡,인천 중구 운서1로4번길 26-0,한식,3567
111,곤드레밥집[한식],인천 연수구 청량로 89-0,한식,3532
112,더존더파티스타청라점,인천 서구 중봉대로 594-0,전문음식,3514
113,속초코다리냉면송도1호점,인천 연수구 아트센터대로 87-0,한식,3510
114,막 퍼주는 시골집밥,인천 연수구 벚꽃로 130-3,한식,3509
115,경복궁구월점 [한식],인천 남동구 인주대로 593-0,한식,3508
116,더노벰버라운지인천구월동점,인천 남동구 인주대로 548-0,카페/찻집,3484
117,별미지교인천서구점,인천 서구 백범로 872-0,전문음식,3464
118,빵카페인천부평점,인천 부평구 마장로 461-1,간이음식,3463
119,경복궁송도점,인천 연수구 청량로 120-0,한식,3454
120,영월애곤드레인천본점 [한식],인천 남동구 매소홀로 864-0,한식,3444
121,더노벰버라운지2호점,인천 연수구 청량로97번길 47-0,카페/찻집,3439
122,긴자송도유원지점 [일식],인천 연수구 청량로120번길 10-0,외국식,3416
123,을왕리꾸덕집,인천 중구 용유서로174번길 44-0,한식,3388
124,옹기꽃게장,인천 남동구 도림북로16번길 31-0,전문음식,3382
125,망향비빔국수청라점,인천 서구 담지로104번길 29-0,한식,3362
126,거궁송도점 [한식],인천 연수구 송도국제대로 157-0,한식,3345
127,송도갈매기송림점,인천 서구 백범로 872-0,한식,3334
128,더노벰버라운지1호점,인천 연수구 컨벤시아대로230번길 42-0,카페/찻집,3325
129,소플러스논현점,인천 남동구 청능대로 552-0,한식,3313
130,라메르,인천 서구 정서진로 651-0,전문음식,3311
131,논노스 송도홈플러스점,인천 연수구 송도국제대로 165-0,한식,3302
132,신선설농탕부평점,인천 부평구 장제로 206-0,한식,3288
133,가든파티계양점,인천 계양구 경명대로 977-0,한식,3267
134,띤뜨,인천 서구 청라루비로42번길 14-0,외국식,3212
135,고래감자탕송도점,인천 연수구 컨벤시아대로130번길 12-0,한식,3209
136,마크로스터스,인천 남동구 오봉동로10번길 35-0,카페/찻집,3196
137,양평신내서울해장국부평직영점,인천 부평구 마장로 191-0,한식,3167
138,백령면옥제물포점,인천 미추홀구 석정로 226-0,한식,3165
139,가온칼국수송도본점,인천 연수구 송도과학로28번길 8-0,한식,3154
140,수연생오리구이,인천 연수구 능허대로167번길 72-0,전문음식,3150
141,강민호을왕리빵판다카페,인천 중구 용유로745번길 14-0,카페/찻집,3130
142,거궁인천부평점 [한식],인천 부평구 아트센터로 166-0,한식,3127
143,도쿄하나[일식],인천 연수구 해돋이로 157-0,외국식,3121
144,진천토종순대가좌동본점,인천 서구 신진말로 37-0,한식,3095
145,짜우탕인천점 [중식],인천 부평구 무네미로447번길 6-4,외국식,3083
146,홍익돈까스인천미추홀점,인천 남동구 덕골로 2-0,전문음식,3080
147,배터지는게장,인천 남동구 수현로 27-0,전문음식,3059
148,투파인드피터청라점,인천 서구 청라에메랄드로 84-0,외국식,3054
149,보문항,인천 중구 운남로82번길 37-0,한식,3051
150,황해해물칼국수2호점,인천 중구 마시란로 37-0,한식,3038
151,상무초밥청라점,인천 서구 청라에메랄드로 79-0,외국식,3028
152,채선당플러스서구청점,인천 서구 서곶로 277-0,전문음식,2991
153,호가화[중식],인천 서구 청라커낼로319번길 3-14,외국식,2990
154,가나안덕송도점,인천 연수구 앵고개로87번길 2-0,전문음식,2977
155,북경짜장2900원검단점 [중식],인천 서구 원당대로 553-0,외국식,2963
156,알벤토,인천 서구 청라루비로134번길 6-0,간이음식,2961
157,우사송도점,인천 연수구 능허대로267번길 58-0,한식,2959
158,한상민과자점,인천 계양구 효서로 385-0,간이음식,2958
159,청라왕아구,인천 서구 청라라임로16번길 7-0,전문음식,2955
160,오봉집검단점,인천 서구 이음대로 378-0,전문음식,2946
161,우사미,인천 서구 청라루비로42번길 5-25,한식,2944
162,해가연,인천 계양구 장제로 1420-17,한식,2925
163,풍림하나로쇼핑센터,인천 미추홀구 토금중로 13-0,한식,2910
164,금메달추어탕,인천 남동구 연락골로 28-0,한식,2905
165,보릿골정찬삼산점 [한식],인천 부평구 장제로 350-0,한식,2884
166,짬뽕지존청라점 [중식],인천 서구 국제대로 237-0,외국식,2881
167,한우야,인천 서구 원적로124번길 1-0,한식,2878
168,진진차이나[중식],인천 연수구 대암로22번길 10-0,외국식,2863
169,가회동샤브칼국수송도컨벤시아점,인천 연수구 센트럴로 123-0,한식,2856
170,비스트로 페르레이,인천 서구 크리스탈로 100-0,전문음식,2845
171,가리비칼국수,인천 남동구 오봉동로4번길 9-0,한식,2834
172,촌장골서구청점,인천 서구 서곶로 296-0,한식,2806
173,솔청청,인천 연수구 능허대로267번길 55-0,한식,2802
174,97도씨해물칼국수영종본점,인천 중구 영종진광장로 39-0,한식,2801
175,하이테이블청라점,인천 서구 푸른로15번길 2-0,카페/찻집,2793
176,브런치빈검단점,인천 서구 이음5로 62-0,전문음식,2792
177,맛을담은강된장,인천 강화군 해안남로 1164-0,한식,2772
178,미애네칼국수본점,인천 중구 용유로21번길 51-0,한식,2763
179,개성손만두요리전문점논현점,인천 남동구 은봉로419번길 27-0,한식,2757
180,풀사이드228송도점,인천 연수구 해돋이로 157-0,외국식,2743
181,송도아트리움,인천 연수구 청량로97번길 56-0,카페/찻집,2709
182,누룩골계양점,인천 계양구 경명대로 954-0,한식,2708
183,씨앤비베이커리카페,인천 서구 아라로 117-1,카페/찻집,2701
184,금화왕돈까스검단점,인천 서구 봉수대로 1274-0,전문음식,2695
185,뚜띠쿠치나미단시티점,인천 중구 미단뉴타운로26번길 21-0,외국식,2672
186,이비가짬뽕인천본점 [중식],인천 서구 서곶로 322-0,외국식,2668
187,온더그린,인천 남동구 능골로 11-2,카페/찻집,2658
188,대왕김밥,인천 부평구 부평문화로 41-0,간이음식,2652
189,희래등[중식],인천 서구 탁옥로86번길 6-1,외국식,2649
190,훈장골계양점,인천 계양구 오조산로 15-0,한식,2644
191,권오길손국수청라점,인천 서구 청라라임로106번길 19-0,한식,2642
192,봄이보리밥청라점,인천 서구 청라에메랄드로 94-0,한식,2630
193,아트랑샤브&구이월남쌈,인천 남동구 구월남로 151-0,전문음식,2628
194,팔진향한옥마을점 [중식],인천 연수구 테크노파크로 180-0,외국식,2627
195,아우라지삼산점,인천 부평구 장제로 346-0,한식,2623
196,배스킨라빈스송도더테라스점,인천 연수구 센트럴로 415-0,간이음식,2614
197,삿뽀로한옥마을점,인천 연수구 테크노파크로 180-0,외국식,2613
198,훈장골신공항점,인천 중구 신도시남로 28-0,한식,2582
199,스시어왕검단본점,인천 서구 청마로7번길 15-0,외국식,2574
200,원갈비,인천 서구 심곡로8번길 4-0,한식,2573
201,C27다운타운선셋점,인천 중구 마시란로 63-0,카페/찻집,2569
202,빨간거짱구네본점,인천 중구 햇내로안길 18-7,전문음식,2565
203,착한낙지,인천 부평구 대정로 17-0,전문음식,2560
204,윤가네바지락칼국수본점,인천 연수구 청룡로30번길 2-0,한식,2549
205,고구려짬뽕10101인천선학점 [중식],인천 연수구 예술로20번길 4-0,외국식,2546
