순위,업소명,주소,분류,현지인 검색 수
91,도덕봉가든,대전 유성구 동서대로189번길 13-0,전문음식,2105
92,띠울석갈비유성점,대전 유성구 계룡로141번길 1-0,한식,2100
93,띠울석갈비테크노점,대전 유성구 테크노5로 72-0,한식,2084
94,공간태리,대전 유성구 수통골로 9-0,카페/찻집,2075
95,갑동숯불민물장어,대전 유성구 갑동로 14-0,전문음식,2053
96,소소림,대전 유성구 동서대로 184-45,카페/찻집,2051
97,유성본가누룽지삼계탕,대전 유성구 유성대로 645-0,한식,2046
98,순남시래기대전신성점,대전 유성구 유성대로1184번길 11-19,한식,2042
99,대청장어가대전점,대전 유성구 금남구즉로 1421-0,전문음식,2020
100,착한낙지홍도점,대전 동구 동서대로 1609-2,전문음식,2007
101,케이인하우스[한식],대전 유성구 봉명로 27-27,한식,1990
102,오도르,대전 서구 도안동로 144-34,카페/찻집,1988
103,드로이,대전 서구 용소로60번길 54-0,전문음식,1971
104,소나무풍경,대전 서구 괴정로116번길 42-0,한식,1966
105,설천순대국밥,대전 유성구 온천북로33번길 13-0,한식,1965
106,피제리아614죽동점,대전 유성구 은구비로 145-0,간이음식,1954
107,두두당,대전 대덕구 대청로 234-0,카페/찻집,1928
108,꽃마름노은점,대전 유성구 북유성대로 170-0,전문음식,1911
109,겐로쿠우동노은점,대전 유성구 반석동로40번길 92-1,외국식,1910
110,천복순대국밥궁동점,대전 유성구 문화원로 57-0,한식,1908
111,크리스피크림도넛대전둔산점,대전 서구 둔산중로 46-0,간이음식,1893
112,김판순 김치찌개,대전 유성구 유성대로1184번길 5-12,한식,1888
113,자작나무,대전 유성구 갑동로25번길 136-0,카페/찻집,1882
114,오한순손수제비,대전 서구 신갈마로230번길 36-0,한식,1881
115,올래국수,대전 유성구 월드컵대로290번길 1-0,간이음식,1877
116,맛찬들 왕소금구이봉명점,대전 유성구 대학로 60-0,한식,1869
116,르몽탁,대전 유성구 은구비로155번안길 28-0,전문음식,1869
118,소바공방,대전 유성구 엑스포로446번길 36-0,외국식,1868
119,진월당,대전 유성구 봉명서로 27-4,한식,1853
120,탑립커피,대전 유성구 엑스포로 600-0,카페/찻집,1848
121,쌈지뜰,대전 유성구 수통골로 85-1,한식,1846
122,비래키키,대전 대덕구 비래골길 47-12,카페/찻집,1843
123,뜨랑한우,대전 유성구 노은동로75번길 48-0,한식,1826
124,경복궁대전점,대전 서구 대덕대로 366-0,한식,1812
125,바르미샤브샤브앤칼국수탄방점,대전 서구 문정로 77-0,전문음식,1811
126,담양애떡갈비,대전 서구 만년남로3번길 16-8,한식,1807
127,워낭명가둔산시청점,대전 서구 둔산서로 41-0,한식,1805
128,인아웃,대전 서구 용소로44번길 21-0,카페/찻집,1803
129,망향비빔국수유성점,대전 유성구 노은동로75번길 74-0,한식,1797
130,귀빈돌솥밥,대전 서구 만년로68번길 21-0,전문음식,1783
131,대나무통밥맛정식,대전 서구 대덕대로 370-0,한식,1780
132,가데나,대전 유성구 반석로 136-6,전문음식,1779
133,드리오리갈마동지점,대전 서구 신갈마로 57-0,전문음식,1770
134,가마솥보은순대,대전 서구 신갈마로 58-17,한식,1754
135,임진강장어,대전 유성구 문화원로 143-0,전문음식,1753
136,시크릿가든,대전 유성구 수통골로71번길 39-0,카페/찻집,1751
137,안도스시,대전 유성구 죽동로279번길 5-28,외국식,1741
138,대전신화수산,대전 유성구 노은동로 8-0,전문음식,1735
139,메이웨이차이나[중식],대전 유성구 지족북로 74-0,외국식,1728
140,까르르스타대전점,대전 서구 만년로 70-0,전문음식,1714
141,외식,대전 동구 대전로 435-9,한식,1710
142,구르메,대전 서구 둔산대로117번길 22-0,한식,1701
143,복덩어리본점,대전 유성구 신성로84번길 74-0,전문음식,1686
144,캘리포니아베이커리,대전 서구 둔산남로91번길 13-0,간이음식,1685
145,광천식당,대전 중구 대종로505번길 29-0,전문음식,1665
146,흥부네칼국수보리밥,대전 서구 가수원중로 53-0,한식,1653
147,설천순대국밥,대전 서구 둔산로51번길 66-0,한식,1643
148,투드커피,대전 서구 상보안길 105-0,카페/찻집,1629
149,설짬뽕[중식],대전 서구 도안대로 37-0,외국식,1616
150,토미야[일식],대전 서구 청사서로 14-0,외국식,1613
151,초가집,대전 서구 갈마로85번길 30-0,한식,1604
151,프랭크커핀바대전점,대전 서구 용소로40번길 29-0,카페/찻집,1604
153,태평소국밥둔산점,대전 서구 둔산로31번길 52-0,한식,1584
153,일당감자탕둔산시청점,대전 서구 둔산중로46번길 22-0,한식,1584
155,산내돌짜장,대전 동구 산내로 457-0,외국식,1578
156,스마일칼국수,대전 중구 보문로230번길 82-0,한식,1555
157,바르미샤브샤브N칼국수관저점,대전 서구 도안대로 37-0,전문음식,1552
158,롤라Lolla,대전 동구 회남로275번길 123-0,카페/찻집,1524
159,맥키스컴퍼니,대전 서구 영골길 158-0,음식점기타,1501
160,후지산,대전 서구 둔산로137번길 21-0,외국식,1488
