순위,업소명,주소,분류,현지인 검색 수
89,블랙업커피을숙도점,부산 사하구 낙동남로1233번길 30-0,카페/찻집,2531
90,문토스트,부산 해운대구 송정해변로 16-0,간이음식,2503
91,영남돼지,부산 해운대구 해운대해변로209번가길 13-0,한식,2477
92,메그네이트,부산 남구 진남로 135-0,카페/찻집,2460
93,배비장보쌈구서본점,부산 금정구 금정로 239-0,전문음식,2443
94,이레옥부산점,부산 해운대구 마린시티3로 51-0,한식,2442
95,카페만디,부산 사하구 오작로 104-7,카페/찻집,2434
96,다온나루,부산 강서구 범방3로46번길 21-0,카페/찻집,2432
97,그랜드하브,부산 강서구 가덕해안로 924-0,카페/찻집,2419
98,오막집,부산 해운대구 해운대해변로209번나길 28-0,전문음식,2415
99,사마정,부산 해운대구 마린시티3로 46-0,전문음식,2409
100,공극샌드커피,부산 기장군 공수해안길 41-0,카페/찻집,2402
101,젬스톤송정점,부산 해운대구 송정구덕포길 100-0,카페/찻집,2385
102,동백섬횟집,부산 해운대구 해운대해변로209번나길 17-0,전문음식,2351
103,제이엠커피로스터스정관점,부산 기장군 곰내길 634-0,카페/찻집,2345
104,청와정,부산 부산진구 동평로44번길 55-0,한식,2335
105,그날이후불타는삼겹살,부산 강서구 새진목길11번길 22-0,한식,2314
106,상무초밥해운대센텀점,부산 해운대구 센텀5로 41-0,외국식,2273
107,코지하우스명지점,부산 강서구 명지국제11로 70-0,전문음식,2271
108,부우사안[중식],부산 해운대구 해운대해변로209번나길 16-0,외국식,2248
109,소희네집,부산 강서구 가덕해안로1208번길 2-12,전문음식,2243
110,기장끝집본점,부산 기장군 기장해안로 895-0,간이음식,2222
110,갓파스시연산점,부산 연제구 반송로 44-0,외국식,2222
112,VSANT,부산 사상구 강변대로 420-7,카페/찻집,2220
113,일등가한우만찬,부산 기장군 기장해안로 266-0,한식,2196
114,모모스커피부산본점,부산 금정구 오시게로 20-0,카페/찻집,2192
115,어라우즈로스터리,부산 강서구 르노삼성대로 630-0,카페/찻집,2187
116,바보낙지,부산 기장군 동암해안길 6-0,한식,2185
117,비비비당,부산 해운대구 달맞이길 239-16,카페/찻집,2174
118,영남식육식당동래점,부산 동래구 명륜로112번가길 51-0,한식,2171
119,로아누,부산 기장군 기장대로 868-34,한식,2163
120,나가하마만게츠[일식],부산 해운대구 우동1로 57-0,외국식,2160
121,청담[한식],부산 연제구 연안로 1-0,한식,2144
122,피크스퀘어,부산 기장군 기장해안로 864-0,카페/찻집,2139
123,긴자해운대마린시티점,부산 해운대구 마린시티2로 38-0,외국식,2129
124,오페라레스토랑,부산 해운대구 달맞이길117번길 29-0,전문음식,2114
125,맛찬들왕소금구이해운대직영점,부산 해운대구 해운대로608번길 46-0,한식,2112
126,신가네호떡김밥떡볶이,부산 동래구 충렬대로249번길 61-0,간이음식,2110
127,노티드부산해운대,부산 해운대구 구남로 17-0,카페/찻집,2109
127,사비아,부산 해운대구 달맞이길117번라길 100-0,전문음식,2109
129,부바스온천천점,부산 동래구 온천천로457번길 4-0,카페/찻집,2097
130,철마연밥[한식],부산 기장군,한식,2094
131,어느멋진날,부산 기장군 기장해안로 1286-0,전문음식,2086
132,부산갈매기,부산 금정구 체육공원로 565-0,한식,2058
133,풍원장엄궁점,부산 사상구 강변대로 420-7,한식,2056
134,안녕한우센텀점,부산 해운대구 해운대로 222-0,한식,2048
135,톤쇼우광안점,부산 수영구 광안해변로279번길 13-0,전문음식,2039
136,류센소본점,부산 해운대구 구남로8번길 62-0,외국식,2031
137,용장어요리전문점,부산 강서구 낙동남로682번길 94-0,전문음식,2026
138,스무고개,부산 해운대구 좌동순환로468번가길 81-0,한식,2018
139,우즈베이커리,부산 기장군 일광로 346-0,간이음식,2016
140,명품물회,부산 기장군 기장해안로 34-20,전문음식,2009
141,하나돈까스온천점,부산 동래구 금강로 67-0,전문음식,2005
142,압구정한우갈비,부산 금정구 청룡로 61-0,한식,1989
143,속씨원한대구탕미포본점,부산 해운대구 달맞이길62번길 28-0,한식,1986
144,헤이든신씨어,부산 금정구 산성로 436-0,카페/찻집,1952
145,흙시루,부산 기장군 차성로451번길 28-0,한식,1942
146,할리스부산송정점,부산 해운대구 송정광어골로 77-0,카페/찻집,1929
147,덕미,부산 기장군 동암해안길 77-0,카페/찻집,1926
148,미포집,부산 해운대구 달맞이길62번길 3-0,전문음식,1925
149,영진돼지국밥정관점,부산 기장군 산단2로 51-0,한식,1908
150,샤브야,부산 해운대구 달맞이길 193-0,전문음식,1906
151,예이제[한식],부산 해운대구 해운대해변로298번길 29-0,한식,1902
152,일광아구찜,부산 기장군 삼성3길 55-0,한식,1901
153,대저할매국수,부산 강서구 대저중앙로 337-0,한식,1887
154,형제가든,부산 기장군 석길길 16-6,한식,1885
155,마리나블루키친,부산 해운대구 해운대해변로 154-0,전문음식,1882
156,맛소문오리불고기,부산 해운대구 좌동로 109-17,전문음식,1879
157,포레스트3002,부산 강서구 낙동남로682번길 262-0,카페/찻집,1874
158,거창맷돌순두부,부산 남구 유엔로 221-0,한식,1869
159,대보름,부산 기장군 기장해안로 98-0,카페/찻집,1863
160,마리솔,부산 기장군 일광로 290-0,카페/찻집,1859
161,마파람해물찜해물탕구서본점,부산 금정구 금강로 418-0,한식,1851
161,포구나무집,부산 금정구 조리2길 13-7,한식,1851
163,곰내재468,부산 기장군 곰내길 468-0,한식,1845
164,구자윤과자점교대점,부산 연제구 세병로 29-0,간이음식,1837
165,대티물꽁,부산 사하구 낙동대로135번안길 15-0,한식,1828
166,메이크씨,부산 기장군 일광로 754-0,카페/찻집,1800
167,장룡수산본점,부산 강서구 낙동남로 749-0,전문음식,1799
168,빨간떡볶이,부산 해운대구 우동1로20번가길 4-0,간이음식,1797
169,탐복,부산 기장군 문오성길 31-0,한식,1792
169,오복미역송정점,부산 해운대구 해운대로 1107-0,한식,1792
171,외식1번가서부산점,부산 사상구 농산물시장로 36-0,한식,1789
172,솔내음한정식[한식],부산 해운대구 달맞이길117번길 17-11,한식,1782
173,다나휴스,부산 해운대구 달맞이길117번가길 120-12,카페/찻집,1781
174,카페38.5,부산 영도구 태종로 539-0,카페/찻집,1777
175,진국명가온천천점,부산 동래구 온천천로 361-0,한식,1767
176,경복궁해운대점 [한식],부산 해운대구 해운대로 743-0,한식,1761
177,싱싱뽈락회,부산 해운대구 해운대해변로209번나길 64-0,전문음식,1758
178,육면정,부산 남구 황령대로 329-0,한식,1751
179,미포끝집,부산 해운대구 달맞이길62번길 77-0,전문음식,1749
180,영남식육식당안락점,부산 동래구 충렬대로 406-0,한식,1748
181,철마한우수목원,부산 기장군 곰내길 308-0,한식,1743
182,대궐안집,부산 사상구 광장로 68-0,한식,1739
182,흑송[일식],부산 해운대구 송정광어골로 73-0,외국식,1739
184,송도갈비해운대중동점,부산 해운대구 좌동순환로8번길 21-0,한식,1737
185,카페051 동백제니스점,부산 해운대구 해운대로 540-0,카페/찻집,1735
186,정원오리촌,부산 강서구 명지오션시티10로 127-0,전문음식,1731
187,오륙도가원,부산 남구 백운포로 14-0,한식,1729
188,로다로지,부산 강서구 명지국제12로19번길 20-10,카페/찻집,1726
189,포에버얌,부산 기장군 문오성길 43-0,외국식,1725
190,어촌밥상,부산 기장군 연화2길 4-0,한식,1710
191,젬스톤B,부산 해운대구 송정구덕포길 100-0,카페/찻집,1704
192,카페도토리 로스터스,부산 기장군 상장안1길 29-4,카페/찻집,1695
193,낙불집,부산 해운대구 송정광어골로 67-0,전문음식,1682
194,할매재첩국부산본점,부산 수영구 광남로120번길 8-0,한식,1678
195,이지요 더파크,부산 강서구 신호산단1로72번길 54-0,카페/찻집,1677
196,전산가든,부산 기장군 학리길 16-0,한식,1676
197,봉평막국수동래점,부산 동래구 충렬대로 218-0,한식,1670
197,수영돼지국밥,부산 수영구 무학로 6-0,한식,1670
199,일광수산횟집,부산 해운대구 해운대로570번길 12-0,전문음식,1669
200,캥거루포인트,부산 해운대구 마린시티3로 51-0,전문음식,1668
201,그린하노이양정점,부산 부산진구 양성로 98-0,외국식,1649
202,푸디 1354,부산 강서구 가락대로 1354-0,한식,1648
203,갓파스시덕천점,부산 북구 금곡대로 11-0,외국식,1645
204,더이스트인부산,부산 기장군 기장해안로 266-0,전문음식,1642
205,금강만두직영점,부산 동래구 사직북로5번길 11-0,한식,1639
206,카페드220볼트오시리아,부산 기장군 기장해안로 98-0,카페/찻집,1631
207,밀양순대돼지국밥,부산 해운대구 구남로 28-0,한식,1629
208,가마솥생복집,부산 기장군 차성로 327-2,전문음식,1628
208,툇마루,부산 북구 금곡대로285번길 81-0,전문음식,1628
210,샤브막심송정본점,부산 해운대구 송정구덕포길 104-0,전문음식,1611
210,불끈낙지개금점,부산 부산진구 가야대로410번길 4-0,전문음식,1611
212,모모스로스터리&커피바,부산 영도구 봉래나루로 160-0,카페/찻집,1603
213,오프오,부산 기장군 기장해안로 860-0,카페/찻집,1601
214,할리스부산명지국제신도시점,부산 강서구 명지국제11로 57-0,카페/찻집,1586
215,카페공지,부산 기장군 기장해안로 509-0,카페/찻집,1585
216,료코기장점 [일식],부산 기장군 기장해안로 925-1,외국식,1580
217,쌍둥이돼지국밥본점,부산 남구 유엔평화로 35-1,한식,1576
