순위,업소명,주소,분류,현지인 검색 수
97,필동면옥,서울 중구 서애로 26-0,한식,4310
98,무탄압구정 본점 [중식],서울 강남구 논현로176길 22-0,외국식,4299
99,발산삼계탕,서울 강서구 강서로 344-0,한식,4243
100,우래옥본점,서울 중구 창경궁로 62-29,한식,4237
101,백년화편,서울 강동구 양재대로81길 18-0,간이음식,4233
102,방화동교동짬뽕[중식],서울 강서구 금낭화로24나길 21-0,외국식,4229
103,오향가가락본점,서울 송파구 송이로 106-0,전문음식,4201
104,감나무집기사식당,서울 마포구 연남로 23-0,한식,4177
105,우드멜로우,서울 강동구 아리수로 243-0,카페/찻집,4171
106,능라도강남점,서울 강남구 삼성로 534-0,한식,4151
107,소호정본점,서울 서초구 논현로 27-0,한식,4129
108,빽다방용산국방부점,서울 용산구 이태원로4길 14-0,카페/찻집,4109
109,보노보노삼성점,서울 강남구 테헤란로 508-0,전문음식,4093
110,밀란국수개포본점,서울 강남구 개포로28길 4-0,한식,4084
111,더아리엘목동점,서울 양천구 오목로 300-0,전문음식,4054
112,백년옥,서울 서초구 남부순환로 2407-0,한식,4045
113,어나더사이드,서울 강서구 강서로 318-0,카페/찻집,4038
114,노티드잠실,서울 송파구 백제고분로45길 3-0,카페/찻집,4008
115,송추가마골은평1호점,서울 은평구 북한산로 276-0,한식,4003
116,송추가마골은평2호점,서울 은평구 북한산로 228-1,한식,4001
117,이도곰탕본점,서울 강남구 논현로94길 29-5,한식,3988
118,을밀대본점,서울 마포구 숭문길 24-0,한식,3982
119,오미가압구정점 [한식],서울 강남구 논현로 833-0,한식,3964
120,강남면옥본점,서울 강남구 논현로152길 34-0,한식,3958
121,서일순대국,서울 동작구 여의대방로22길 20-0,한식,3938
122,헤이더그린,서울 강서구 대장로 58-0,카페/찻집,3926
123,배떡석계점,서울 성북구 한천로76다길 21-0,간이음식,3909
124,한소반청계산점,서울 서초구 청계산로 249-0,전문음식,3894
125,연희동손칼국수본점,서울 서대문구 연희맛로 37-0,한식,3883
126,팥고당대치점,서울 강남구 삼성로 315-0,간이음식,3852
127,하누소창동본점,서울 도봉구 노해로 327-0,한식,3845
128,몽중헌방이점 [중식],서울 송파구 위례성대로 10-0,외국식,3834
129,쌍다리돼지불백본점 [한식],서울 성북구 성북로23길 4-0,한식,3826
130,평양면옥도곡점,서울 강남구 논현로28길 28-0,한식,3810
131,항아리보쌈,서울 양천구 신목로 48-0,전문음식,3759
132,강동반상[한식],서울 강동구 상일로6길 39-0,한식,3735
133,성북동메밀수제비누룽지백숙,서울 성북구 성북로31길 9-0,한식,3729
134,할매재첩국대치점,서울 강남구 삼성로 308-0,한식,3707
135,풍미연노원본점,서울 노원구 노해로85길 7-0,한식,3706
136,고메이494한남,서울 용산구 한남대로 91-0,전문음식,3694
137,쉐이크쉑청담점,서울 강남구 도산대로 327-0,간이음식,3683
138,수담[한식],서울 강남구 봉은사로 418-0,한식,3682
139,서관면옥교대본점,서울 서초구 서초대로56길 11-0,한식,3663
140,신풍낙지,서울 영등포구 대림로 220-0,전문음식,3659
141,꼼떼바베큐둔촌본점,서울 강동구 동남로51길 9-0,전문음식,3653
142,함흥본가면옥,서울 광진구 광나루로 456-0,한식,3627
143,팀호완삼성점,서울 강남구 봉은사로86길 30-0,외국식,3625
144,경복궁서초점,서울 서초구 서초중앙로 195-0,한식,3615
145,청초수물회섭국강남점,서울 강남구 압구정로28길 24-0,전문음식,3612
146,몽중헌문정점,서울 송파구 새말로5길 31-0,외국식,3609
147,신정역삼점,서울 강남구 테헤란로8길 29-0,전문음식,3606
148,삼청동수제비본점,서울 종로구 삼청로 101-1,한식,3605
