순위,업소명,주소,분류,현지인 검색 수
264,바다로한상,광주 북구 천지인로 123-0,한식,818
265,민속촌도청점,광주 동구 문화전당로 37-2,한식,803
266,뜨락우렁강된장쌈밥,광주 남구 화산로 105-0,한식,799
267,원조장수갈비,광주 북구 하서로 450-0,한식,796
268,어센틱비스트로,광주 남구 봉선로79번길 9-0,전문음식,792
269,대덕회관,광주 북구 능안로 13-0,한식,791
270,막동이회관,광주 동구 남문로 614-0,한식,789
270,광신보리밥,광주 북구 두리봉길 2-1,한식,789
272,송하회관,광주 동구 문화전당로35번길 28-5,한식,788
273,테라스카페갈라,광주 북구 신용산길 66-0,카페/찻집,785
274,옥돼지식당,광주 남구 봉선2로 26-0,한식,781
275,한남동나른한오후,광주 동구 동명로67번길 16-10,한식,766
275,한우사랑,광주 남구 효덕로 150-0,한식,766
277,얌얌차차,광주 남구 용대로 103-1,외국식,765
278,아르티오,광주 남구 원산2길 3-0,카페/찻집,754
279,퍼땀,광주 남구 용대로53번길 2-14,외국식,744
280,포레스트봉선점,광주 남구 봉선2로19번길 11-0,카페/찻집,731
281,월산공원,광주 남구 수박등로 53-0,한식,727
282,명인면옥,광주 남구 회재로 1194-0,한식,726
283,갯마을회식당,광주 남구 금당로 5-0,전문음식,708
284,해남성내식당,광주 남구 봉선로 21-0,한식,702
285,백년대게,광주 남구 대남대로 361-0,전문음식,694
286,한남동두번째식탁효천점,광주 남구 효천로92번길 44-3,한식,681
287,창억떡동명점,광주 동구 동계천로 170-0,간이음식,663
288,남가정,광주 동구 지호로 137-7,한식,661
289,황솔촌충장점,광주 동구 중앙로160번길 16-10,한식,637
290,상무초밥계림점,광주 동구 무등로 405-0,외국식,628
291,한남동두번째식탁,광주 남구 봉선2로 39-13,한식,626
292,황소알곱창,광주 남구 백운로 55-0,전문음식,617
293,규슈동명점,광주 동구 동명로 47-3,전문음식,608
294,제주흑돈하루노대점,광주 남구 효우로130번길 56-0,한식,603
295,물텀벙아구찜,광주 남구 유안초등북길 9-0,한식,594
296,거목한정식[한식],광주 남구 천변좌로364번길 3-6,한식,593
297,코벤트마켓봉선점,광주 남구 제석로 104-0,전문음식,569
298,카페304봉선점,광주 남구 봉선로121번길 10-0,카페/찻집,566
299,쌍학[일식],광주 동구 구성로152번길 13-0,외국식,553
300,채선당광주봉선점,광주 남구 봉선로 205-0,전문음식,550
301,육대장효천점,광주 남구 효우로 134-0,한식,544
302,코튼스토리위드커피,광주 남구 봉선1로17번길 12-0,카페/찻집,543
303,봉자순대국밥,광주 동구 의재로 25-0,한식,542
304,상록수,광주 남구 제석로 3-0,한식,531
304,농장다리,광주 동구 동명로69번길 2-0,한식,531
306,베네치아지산본점,광주 동구 지호로124번길 16-0,전문음식,526
307,루치아,광주 남구 월산로116번길 22-1,전문음식,525
308,진월애진곰탕,광주 남구 서문대로 695-0,한식,524
309,소진담광주점,광주 남구 대남대로 388-0,카페/찻집,519
310,금성칡냉면,광주 남구 봉선중앙로67번길 3-0,한식,515
311,바른고기엘베요타진월점,광주 남구 서문대로 717-0,한식,509
311,빈드럭스,광주 동구 지호로124번길 32-0,카페/찻집,509
313,이영미궁중한방삼계탕지산점,광주 동구 지호로 133-0,한식,505
314,유유샤브양림점,광주 남구 양림로 93-1,전문음식,503
315,어니스트식스티,광주 남구 백서로 98-0,전문음식,500
316,궁전제과충장점,광주 동구 충장로 93-6,간이음식,498
317,분포나인,광주 남구 백서로 39-0,외국식,494
318,저팔계,광주 남구 봉선중앙로123번길 16-0,전문음식,492
319,목하식당,광주 동구 동명로25번길 6-0,외국식,484
320,열도지[중식],광주 동구 제봉로82번길 17-0,외국식,481
321,말리화[중식],광주 동구 제봉로82번길 13-5,외국식,479
322,자담치킨광주월산점,광주 남구 수박등로 65-4,간이음식,466
323,장어명가청산광주점,광주 동구 남문로 275-0,전문음식,459
324,설빙광주진월점,광주 남구 서문대로 687-0,카페/찻집,456
325,가족회관[한식],광주 동구 동명로 50-0,한식,448
326,파세아르,광주 남구 제중로 77-0,카페/찻집,438
327,칸세이스시,광주 남구 제중로46번길 8-2,외국식,432
328,반달옥,광주 남구 봉선2로 39-13,한식,430
329,만찬봉선점,광주 남구 봉선중길 2-0,한식,427
330,칠산바다,광주 남구 대남대로 331-1,전문음식,422
330,바른초밥학동점,광주 동구 남문로754번길 2-2,외국식,422
330,솔밭솥밥[한식],광주 동구 동명로 9-5,한식,422
333,조선국밥,광주 남구 포충로 7-0,한식,420
334,오키나와후라이,광주 남구 백서로 76-0,외국식,417
335,윤슬베이커리,광주 동구 동계천로 166-0,간이음식,416
335,태백정,광주 남구 효천2로가길 19-0,한식,416
337,봉선골오리의집,광주 남구 제석로 52-0,전문음식,415
338,데이지,광주 동구 증심천로 110-0,전문음식,414
339,연두상점,광주 남구 칠석길 1-0,카페/찻집,413
340,본디소,광주 남구 양촌길 29-2,전문음식,412
341,테스타,광주 남구 백서로 58-1,전문음식,406
342,메밀당막국수봉선점,광주 남구 봉선로 33-0,한식,404
343,행복담,광주 동구 서석로85번길 2-0,한식,401
344,경복궁,광주 남구 회서로 40-0,한식,396
345,궁전제과월남점,광주 동구 남문로 347-0,간이음식,393
345,유소바,광주 남구 천변좌로 468-0,외국식,393
347,소코아봉선점,광주 남구 봉선로 173-0,전문음식,390
348,남구보신탕,광주 남구 행암길 12-0,한식,389
349,양만휘칼국수,광주 동구 지호로160번길 9-0,한식,387
350,중앙식당,광주 동구 증심사길30번길 15-0,한식,382
351,맷돌,광주 남구 광복마을길 79-3,한식,380
352,샤브향광주문화전당점,광주 동구 서석로 40-0,전문음식,375
353,이바돔감자탕봉선점,광주 남구 봉선2로 81-0,한식,372
353,시골집국밥,광주 남구 서문대로701번길 6-0,한식,372
355,택이네조개전골효천점,광주 남구 효천3로 103-0,전문음식,371
356,레파스효천점,광주 남구 효천로92번길 44-3,카페/찻집,370
356,당산나무집,광주 남구 봉선중길 4-0,한식,370
358,개이트,광주 남구 이동길 96-0,카페/찻집,369
359,카페지즈,광주 동구 동산길 42-0,카페/찻집,367
360,남촌낙지,광주 남구 서문대로 339-0,전문음식,366
361,약초흑염소,광주 남구 신효천2길 9-0,한식,362
362,산수커피,광주 동구 동계로12번길 13-0,카페/찻집,358
363,본투비버거,광주 동구 동명로 37-1,간이음식,354
